symbol,instrument_token,sector,industry,company_name
CIEINDIA,3823873,Automobile and Auto Components,Automobile and Auto Components,CIE Automotive India Ltd.
CIPLA,177665,Healthcare,Healthcare,Cipla Ltd.
CLEAN,1292545,Chemicals,Chemicals,Clean Science and Technology Ltd.
COALINDIA,5215745,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Coal India Ltd.
COCHINSHIP,5506049,Capital Goods,Capital Goods,Cochin Shipyard Ltd.
COFORGE,2955009,Information Technology,Information Technology,Coforge Ltd.
COHANCE,4593921,Healthcare,Healthcare,Cohance Lifesciences Ltd.
COLPAL,3876097,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Colgate Palmolive (India) Ltd.
CONCOR,1215745,Services,Services,Container Corporation of India Ltd.
CONCORDBIO,4623361,Healthcare,Healthcare,Concord Biotech Ltd.
COROMANDEL,189185,Chemicals,Chemicals,Coromandel International Ltd.
CPPLUS,194267649,Capital Goods,Capital Goods,Aditya Infotech Ltd.
CRAFTSMAN,730625,Automobile and Auto Components,Automobile and Auto Components,Craftsman Automation Ltd.
CREDITACC,1131777,Financial Services,Financial Services,CreditAccess Grameen Ltd.
CRISIL,193793,Financial Services,Financial Services,CRISIL Ltd.
CROMPTON,4376065,Consumer Durables,Consumer Durables,Crompton Greaves Consumer Electricals Ltd.
CUB,1459457,Financial Services,Financial Services,City Union Bank Ltd.
CUMMINSIND,486657,Capital Goods,Capital Goods,Cummins India Ltd.
CYIENT,1471489,Information Technology,Information Technology,Cyient Ltd.
DABUR,197633,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Dabur India Ltd.
DALBHARAT,2067201,Construction Materials,Construction Materials,Dalmia Bharat Ltd.
DATAPATTNS,1883649,Capital Goods,Capital Goods,Data Patterns (India) Ltd.
DCMSHRIRAM,207617,Diversified,Diversified,DCM Shriram Ltd.
DEEPAKFERT,211713,Chemicals,Chemicals,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR,5105409,Chemicals,Chemicals,Deepak Nitrite Ltd.
DELHIVERY,2457345,Services,Services,Delhivery Ltd.
DEVYANI,1375489,Consumer Services,Consumer Services,Devyani International Ltd.
DIVISLAB,2800641,Healthcare,Healthcare,Divi's Laboratories Ltd.
DIXON,5552641,Consumer Durables,Consumer Durables,Dixon Technologies (India) Ltd.
DLF,3771393,Realty,Realty,DLF Ltd.
DMART,5097729,Consumer Services,Consumer Services,Avenue Supermarts Ltd.
DOMS,5261057,Fast Moving Consumer Goods,Fast Moving Consumer Goods,DOMS Industries Ltd.
DRREDDY,225537,Healthcare,Healthcare,Dr. Reddy's Laboratories Ltd.
ECLERX,3885825,Services,Services,eClerx Services Ltd.
EICHERMOT,232961,Automobile and Auto Components,Automobile and Auto Components,Eicher Motors Ltd.
EIDPARRY,234497,Fast Moving Consumer Goods,Fast Moving Consumer Goods,E.I.D. Parry (India) Ltd.
EIHOTEL,235265,Consumer Services,Consumer Services,EIH Ltd.
ELECON,3492609,Capital Goods,Capital Goods,Elecon Engineering Co. Ltd.
ELGIEQUIP,239873,Capital Goods,Capital Goods,Elgi Equipments Ltd.
EMAMILTD,3460353,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Emami Ltd.
EMCURE,6245889,Healthcare,Healthcare,Emcure Pharmaceuticals Ltd.
EMMVEE,194490369,Capital Goods,Capital Goods,Emmvee Photovoltaic Power Ltd.
ENDURANCE,4818433,Automobile and Auto Components,Automobile and Auto Components,Endurance Technologies Ltd.
ENGINERSIN,1256193,Construction,Construction,Engineers India Ltd.
ENRIN,193758977,Capital Goods,Capital Goods,Siemens Energy India Ltd.
ERIS,5415425,Healthcare,Healthcare,Eris Lifesciences Ltd.
ESCORTS,245249,Capital Goods,Capital Goods,Escorts Kubota Ltd.
ETERNAL,1304833,Consumer Services,Consumer Services,Eternal Ltd.
EXIDEIND,173057,Automobile and Auto Components,Automobile and Auto Components,Exide Industries Ltd.
FACT,258049,Chemicals,Chemicals,Fertilisers and Chemicals Travancore Ltd.
FEDERALBNK,261889,Financial Services,Financial Services,Federal Bank Ltd.
FINCABLES,265729,Capital Goods,Capital Goods,Finolex Cables Ltd.
FIRSTCRY,6352385,Consumer Services,Consumer Services,Brainbees Solutions Ltd.
FIVESTAR,3080193,Financial Services,Financial Services,Five-Star Business Finance Ltd.
FLUOROCHEM,3520001,Chemicals,Chemicals,Gujarat Fluorochemicals Ltd.
FORCEMOT,2962689,Automobile and Auto Components,Automobile and Auto Components,Force Motors Ltd.
FORTIS,3735553,Healthcare,Healthcare,Fortis Healthcare Ltd.
FSL,3661825,Services,Services,Firstsource Solutions Ltd.
GABRIEL,277761,Automobile and Auto Components,Automobile and Auto Components,Gabriel India Ltd.
GAIL,1207553,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,GAIL (India) Ltd.
GALLANTT,3414273,Capital Goods,Capital Goods,Gallantt Ispat Ltd.
GESHIP,3526657,Services,Services,Great Eastern Shipping Co. Ltd.
GICRE,70913,Financial Services,Financial Services,General Insurance Corporation of India
GILLETTE,403457,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Gillette India Ltd.
GLAND,303617,Healthcare,Healthcare,Gland Pharma Ltd.
GLAXO,295169,Healthcare,Healthcare,Glaxosmithkline Pharmaceuticals Ltd.
GLENMARK,1895937,Healthcare,Healthcare,Glenmark Pharmaceuticals Ltd.
GMDCLTD,1332225,Metals & Mining,Metals & Mining,Gujarat Mineral Development Corporation Ltd.
GMRAIRPORT,3463169,Services,Services,GMR Airports Ltd.
GODFRYPHLP,302337,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Godfrey Phillips India Ltd.
GODIGIT,6092545,Financial Services,Financial Services,Go Digit General Insurance Ltd.
GODREJCP,2585345,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Godrej Consumer Products Ltd.
GODREJIND,2796801,Diversified,Diversified,Godrej Industries Ltd.
GODREJPROP,4576001,Realty,Realty,Godrej Properties Ltd.
GPIL,3432705,Capital Goods,Capital Goods,Godawari Power & Ispat Ltd.
GRANULES,3039233,Healthcare,Healthcare,Granules India Ltd.
GRAPHITE,151553,Capital Goods,Capital Goods,Graphite India Ltd.
GRASIM,315393,Construction Materials,Construction Materials,Grasim Industries Ltd.
GRAVITA,5256705,Metals & Mining,Metals & Mining,Gravita India Ltd.
GROWW,194510337,Financial Services,Financial Services,Billionbrains Garage Ventures Ltd.
GRSE,1401601,Capital Goods,Capital Goods,Garden Reach Shipbuilders & Engineers Ltd.
GVT&D,4296449,Capital Goods,Capital Goods,GE Vernova T&D India Ltd.
HAL,589569,Capital Goods,Capital Goods,Hindustan Aeronautics Ltd.
HAVELLS,2513665,Consumer Durables,Consumer Durables,Havells India Ltd.
HBLENGINE,3575297,Capital Goods,Capital Goods,HBL Engineering Ltd.
HCLTECH,1850625,Information Technology,Information Technology,HCL Technologies Ltd.
HDBFS,193989633,Financial Services,Financial Services,HDB Financial Services Ltd.
HDFCAMC,1086465,Financial Services,Financial Services,HDFC Asset Management Company Ltd.
HDFCBANK,341249,Financial Services,Financial Services,HDFC Bank Ltd.
HDFCLIFE,119553,Financial Services,Financial Services,HDFC Life Insurance Company Ltd.
HEG,342017,Capital Goods,Capital Goods,H.E.G. Ltd.
HEROMOTOCO,345089,Automobile and Auto Components,Automobile and Auto Components,Hero MotoCorp Ltd.
HEXT,7594497,Information Technology,Information Technology,Hexaware Technologies Ltd.
HFCL,5619457,Telecommunication,Telecommunication,HFCL Ltd.
HINDALCO,348929,Metals & Mining,Metals & Mining,Hindalco Industries Ltd.
HINDCOPPER,4592385,Metals & Mining,Metals & Mining,Hindustan Copper Ltd.
HINDPETRO,359937,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,356865,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Hindustan Unilever Ltd.
HINDZINC,364545,Metals & Mining,Metals & Mining,Hindustan Zinc Ltd.
HOMEFIRST,526337,Financial Services,Financial Services,Home First Finance Company India Ltd.
HONASA,5072129,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Honasa Consumer Ltd.
HONAUT,874753,Capital Goods,Capital Goods,Honeywell Automation India Ltd.
HSCL,3669505,Chemicals,Chemicals,Himadri Speciality Chemical Ltd.
HUDCO,5331201,Financial Services,Financial Services,Housing & Urban Development Corporation Ltd.
HYUNDAI,6616065,Automobile and Auto Components,Automobile and Auto Components,Hyundai Motor India Ltd.
ICICIAMC,194664193,Financial Services,Financial Services,ICICI Prudential Asset Management Company Ltd.
ICICIBANK,1270529,Financial Services,Financial Services,ICICI Bank Ltd.
ICICIGI,5573121,Financial Services,Financial Services,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,4774913,Financial Services,Financial Services,ICICI Prudential Life Insurance Company Ltd.
IDBI,377857,Financial Services,Financial Services,IDBI Bank Ltd.
IDEA,3677697,Telecommunication,Telecommunication,Vodafone Idea Ltd.
IDFCFIRSTB,2863105,Financial Services,Financial Services,IDFC First Bank Ltd.
IEX,56321,Financial Services,Financial Services,Indian Energy Exchange Ltd.
IFCI,381697,Financial Services,Financial Services,IFCI Ltd.
IGIL,7264769,Services,Services,International Gemological Institute Ltd.
IGL,2883073,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Indraprastha Gas Ltd.
IIFL,3023105,Financial Services,Financial Services,IIFL Finance Ltd.
IKS,7200001,Information Technology,Information Technology,Inventurus Knowledge Solutions Ltd.
INDGN,6065409,Healthcare,Healthcare,Indegene Ltd.
INDHOTEL,387073,Consumer Services,Consumer Services,Indian Hotels Co. Ltd.
INDIACEM,387841,Construction Materials,Construction Materials,India Cements Ltd.
INDIAMART,2745857,Consumer Services,Consumer Services,Indiamart Intermesh Ltd.
INDIANB,3663105,Financial Services,Financial Services,Indian Bank
INDIGO,2865921,Services,Services,InterGlobe Aviation Ltd.
INDUSINDBK,1346049,Financial Services,Financial Services,IndusInd Bank Ltd.
INDUSTOWER,7458561,Telecommunication,Telecommunication,Indus Towers Ltd.
INFY,408065,Information Technology,Information Technology,Infosys Ltd.
INOXWIND,2010113,Capital Goods,Capital Goods,Inox Wind Ltd.
INTELLECT,1517057,Information Technology,Information Technology,Intellect Design Arena Ltd.
IOB,2393089,Financial Services,Financial Services,Indian Overseas Bank
IOC,415745,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Indian Oil Corporation Ltd.
IPCALAB,418049,Healthcare,Healthcare,Ipca Laboratories Ltd.
IRB,3920129,Construction,Construction,IRB Infrastructure Developers Ltd.
IRCON,1276417,Construction,Construction,IRCON International Ltd.
IRCTC,3484417,Consumer Services,Consumer Services,Indian Railway Catering And Tourism Corporation Ltd.
IREDA,5186817,Financial Services,Financial Services,Indian Renewable Energy Development Agency Ltd.
IRFC,519425,Financial Services,Financial Services,Indian Railway Finance Corporation Ltd.
ITC,424961,Fast Moving Consumer Goods,Fast Moving Consumer Goods,ITC Ltd.
ITCHOTELS,7488257,Consumer Services,Consumer Services,ITC Hotels Ltd.
ITI,428801,Telecommunication,Telecommunication,ITI Ltd.
J&KBANK,1442049,Financial Services,Financial Services,Jammu & Kashmir Bank Ltd.
JAINREC,194366465,Metals & Mining,Metals & Mining,Jain Resource Recycling Ltd.
JBCHEPHARM,441857,Healthcare,Healthcare,J.B. Chemicals & Pharmaceuticals Ltd.
JBMA,2983681,Automobile and Auto Components,Automobile and Auto Components,JBM Auto Ltd.
JINDALSAW,774145,Capital Goods,Capital Goods,Jindal Saw Ltd.
JINDALSTEL,1723649,Metals & Mining,Metals & Mining,Jindal Steel Ltd.
JIOFIN,4644609,Financial Services,Financial Services,Jio Financial Services Ltd.
JKCEMENT,3397121,Construction Materials,Construction Materials,J.K. Cement Ltd.
JKTYRE,3695361,Automobile and Auto Components,Automobile and Auto Components,JK Tyre & Industries Ltd.
JMFINANCIL,3491073,Financial Services,Financial Services,JM Financial Ltd.
JPPOWER,3011329,Power,Power,Jaiprakash Power Ventures Ltd.
JSL,2876417,Metals & Mining,Metals & Mining,Jindal Stainless Ltd.
JSWCEMENT,194165761,Construction Materials,Construction Materials,JSW Cement Ltd.
JSWDULUX,375553,Consumer Durables,Consumer Durables,JSW Dulux Ltd.
JSWENERGY,4574465,Power,Power,JSW Energy Ltd.
JSWINFRA,4869121,Services,Services,JSW Infrastructure Ltd.
JSWSTEEL,3001089,Metals & Mining,Metals & Mining,JSW Steel Ltd.
JUBLFOOD,4632577,Consumer Services,Consumer Services,Jubilant Foodworks Ltd.
JUBLINGREA,712449,Chemicals,Chemicals,Jubilant Ingrevia Ltd.
JUBLPHARMA,931073,Healthcare,Healthcare,Jubilant Pharmova Ltd.
JWL,5177345,Capital Goods,Capital Goods,Jupiter Wagons Ltd.
JYOTICNC,5461505,Capital Goods,Capital Goods,Jyoti CNC Automation Ltd.
KAJARIACER,462849,Consumer Durables,Consumer Durables,Kajaria Ceramics Ltd.
KALYANKJIL,756481,Consumer Durables,Consumer Durables,Kalyan Jewellers India Ltd.
KARURVYSYA,470529,Financial Services,Financial Services,Karur Vysya Bank Ltd.
KAYNES,3095553,Capital Goods,Capital Goods,Kaynes Technology India Ltd.
KEC,3394561,Construction,Construction,Kec International Ltd.
KEI,3407361,Capital Goods,Capital Goods,KEI Industries Ltd.
KFINTECH,3419905,Financial Services,Financial Services,Kfin Technologies Ltd.
KIMS,1240833,Healthcare,Healthcare,Krishna Institute of Medical Sciences Ltd.
KIRLOSENG,5359617,Capital Goods,Capital Goods,Kirloskar Oil Eng Ltd.
KOTAKBANK,492033,Financial Services,Financial Services,Kotak Mahindra Bank Ltd.
KPIL,464385,Construction,Construction,Kalpataru Projects International Ltd.
KPITTECH,2478849,Information Technology,Information Technology,KPIT Technologies Ltd.
KPRMILL,3817473,Textiles,Textiles,K.P.R. Mill Ltd.
LALPATHLAB,2983425,Healthcare,Healthcare,Dr. Lal Path Labs Ltd.
LATENTVIEW,1745409,Information Technology,Information Technology,Latent View Analytics Ltd.
LAURUSLABS,4923905,Healthcare,Healthcare,Laurus Labs Ltd.
LEMONTREE,667137,Consumer Services,Consumer Services,Lemon Tree Hotels Ltd.
LENSKART,194458881,Consumer Services,Consumer Services,Lenskart Solutions Ltd.
LGEINDIA,194614529,Consumer Durables,Consumer Durables,LG Electronics India Ltd.
LICHSGFIN,511233,Financial Services,Financial Services,LIC Housing Finance Ltd.
LICI,2426881,Financial Services,Financial Services,Life Insurance Corporation of India
LINDEINDIA,416513,Chemicals,Chemicals,Linde India Ltd.
LLOYDSME,4432129,Metals & Mining,Metals & Mining,Lloyds Metals And Energy Ltd.
LODHA,824321,Realty,Realty,Lodha Developers Ltd.
LT,2939649,Construction,Construction,Larsen & Toubro Ltd.
LTF,6386689,Financial Services,Financial Services,L&T Finance Ltd.
LTFOODS,3536897,Fast Moving Consumer Goods,Fast Moving Consumer Goods,LT Foods Ltd.
LTM,4561409,Information Technology,Information Technology,LTM Ltd.
LTTS,4752385,Information Technology,Information Technology,L&T Technology Services Ltd.
LUPIN,2672641,Healthcare,Healthcare,Lupin Ltd.
M&M,519937,Automobile and Auto Components,Automobile and Auto Components,Mahindra & Mahindra Ltd.
M&MFIN,3400961,Financial Services,Financial Services,Mahindra & Mahindra Financial Services Ltd.
MAHABANK,2912513,Financial Services,Financial Services,Bank of Maharashtra
MANAPPURAM,4879617,Financial Services,Financial Services,Manappuram Finance Ltd.
MANKIND,3937281,Healthcare,Healthcare,Mankind Pharma Ltd.
MAPMYINDIA,1850113,Information Technology,Information Technology,C.E. Info Systems Ltd.
MARICO,1041153,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Marico Ltd.
MARUTI,2815745,Automobile and Auto Components,Automobile and Auto Components,Maruti Suzuki India Ltd.
MAXHEALTH,5728513,Healthcare,Healthcare,Max Healthcare Institute Ltd.
MAZDOCK,130305,Capital Goods,Capital Goods,Mazagoan Dock Shipbuilders Ltd.
MCX,7982337,Financial Services,Financial Services,Multi Commodity Exchange of India Ltd.
MEDANTA,3060737,Healthcare,Healthcare,Global Health Ltd.
MEESHO,194618625,Consumer Services,Consumer Services,Meesho Ltd.
MFSL,548353,Financial Services,Financial Services,Max Financial Services Ltd.
MGL,4488705,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Mahanagar Gas Ltd.
MINDACORP,6629633,Automobile and Auto Components,Automobile and Auto Components,Minda Corporation Ltd.
MMTC,4596993,Services,Services,MMTC Ltd.
MOTHERSON,1076225,Automobile and Auto Components,Automobile and Auto Components,Samvardhana Motherson International Ltd.
MOTILALOFS,3826433,Financial Services,Financial Services,Motilal Oswal Financial Services Ltd.
MPHASIS,1152769,Information Technology,Information Technology,MphasiS Ltd.
MRF,582913,Automobile and Auto Components,Automobile and Auto Components,MRF Ltd.
MRPL,584449,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Mangalore Refinery & Petrochemicals Ltd.
MSUMI,2200577,Automobile and Auto Components,Automobile and Auto Components,Motherson Sumi Wiring India Ltd.
MUTHOOTFIN,6054401,Financial Services,Financial Services,Muthoot Finance Ltd.
NAM-INDIA,91393,Financial Services,Financial Services,Nippon Life India Asset Management Ltd.
NATCOPHARM,1003009,Healthcare,Healthcare,NATCO Pharma Ltd.
NATIONALUM,1629185,Metals & Mining,Metals & Mining,National Aluminium Co. Ltd.
NAUKRI,3520257,Consumer Services,Consumer Services,Info Edge (India) Ltd.
NAVA,1027585,Power,Power,Nava Ltd.
NAVINFLUOR,3756033,Chemicals,Chemicals,Navin Fluorine International Ltd.
NBCC,8042241,Construction,Construction,NBCC (India) Ltd.
NCC,593665,Construction,Construction,NCC Ltd.
NESTLEIND,4598529,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Nestle India Ltd.
NETWEB,4462849,Information Technology,Information Technology,Netweb Technologies India Ltd.
NEULANDLAB,615937,Healthcare,Healthcare,Neuland Laboratories Ltd.
NEWGEN,297985,Information Technology,Information Technology,Newgen Software Technologies Ltd.
NH,3031041,Healthcare,Healthcare,Narayana Hrudayalaya Ltd.
NHPC,4454401,Power,Power,NHPC Ltd.
NIACL,102145,Financial Services,Financial Services,The New India Assurance Company Ltd.
NIVABUPA,6936833,Financial Services,Financial Services,Niva Bupa Health Insurance Company Ltd.
NLCINDIA,2197761,Power,Power,NLC India Ltd.
NMDC,3924993,Metals & Mining,Metals & Mining,NMDC Ltd.
NSLNISP,3630081,Metals & Mining,Metals & Mining,NMDC Steel Ltd.
NTPC,2977281,Power,Power,NTPC Ltd.
NTPCGREEN,6957057,Power,Power,NTPC Green Energy Ltd.
NUVAMA,4792577,Financial Services,Financial Services,Nuvama Wealth Management Ltd.
NUVOCO,1389057,Construction Materials,Construction Materials,Nuvoco Vistas Corporation Ltd.
NYKAA,1675521,Consumer Services,Consumer Services,FSN E-Commerce Ventures Ltd.
